artist,track_name,album,label,popularity,uri,streaming
Aya Nakamura,Chimiyé,Chimiyé,REC.118 / Nakamura Industrie,70,spotify:track:6xaoSNgphFog6VMIqGteYZ,6603448
Aya Nakamura,Copines,NAKAMURA,Rec. 118,75,spotify:track:1Bhm5HNO1cq8olDbBmokyL,450695848
Aya Nakamura,Djadja,NAKAMURA,Rec. 118,72,spotify:track:7sKDftgGirHWTVFMtJoDoh,501190363
Aya Nakamura,Pookie,NAKAMURA,Rec. 118,66,spotify:track:2QpUWi6VSNOt2WyH5FIeLD,218959308
Aya Nakamura,40%,NAKAMURA (Deluxe Edition),Rec. 118,63,spotify:track:47LFcy7prvEY5D08d26zOo,99810099
Aya Nakamura,Avec classe (feat.Corneille & Trinix),Avec classe (feat. Aya Nakamura & Trinix),Wagram Music / W Lab,65,spotify:track:2RqZ8JUBXP4C0nzttGnTL1,53319388
Aya Nakamura,Dale x Love Therapy (feat. Hamza),Paradise,Rec. 118 / Just Woke Up (JWU),63,spotify:track:0sMcHdKAjVSNuNnPchQu4S,38527731
Aya Nakamura,La dot,NAKAMURA,Rec. 118,59,spotify:track:3aRgAfrt6aQW8IimLq2aVG,81667882
Aya Nakamura,42,42,REC.118 / Nakamura Industrie,62,spotify:track:1xHHbz3YLEbqAuQFkM9Zcg,28214345
PNL,La misère est si belle,Deux frères,QLF Records,69,spotify:track:1s3XtkdfT3obSCbQVWtvX9,142226308
PNL,Mexico,Le monde Chico,QLF Records,67,spotify:track:4di2vpRLHHZ5u4UtlTMiNZ,72492876
PNL,Hasta la vista,Deux frères,QLF Records,68,spotify:track:6YHnhfw8yMCx4vZvsgem3D,91986215
PNL,J'comprends pas,Que la famille,Pnl,73,spotify:track:1CxtymiucDK0AB9vgGZ6q2,183814039
PNL,Béné,Dans la légende,QLF Records,69,spotify:track:00X2yv2vrtritPt2CZnUTZ,186124054
PNL,Deux frères,Deux frères,QLF Records,69,spotify:track:6hzi3AGB39FjxFqcjgbWs7,194358478
PNL,Onizuka,Dans la légende,QLF Records,70,spotify:track:4GCIYE1x1TWJCChPkpy9by,226726754
PNL,Luz de Luna,Dans la légende,QLF Records,66,spotify:track:6WgQjBNpjnEJbOKAa0OMpY,91433902
PNL,Uranus,Dans la légende,QLF Records,68,spotify:track:7lpfmAMzW3MlWSnXrwAGky,122552671
PNL,DA,Dans la légende,QLF Records,67,spotify:track:5UOGzIMvxXyRZIWBbqDcpU,138966019
Jul,Sous la lune,Rien 100 Rien,D'Or et de Platine,77,spotify:track:6hKkzk8UlVUj9ioPCyeH1O,92747223
Jul,Phénoménal,Phénoménal,D'Or et de Platine,74,spotify:track:4VayCkXPEDlKeAo4DfPk89,3687993
Jul,Tu la love,Dans ma paranoïa,Liga One Industry,72,spotify:track:5I2FIj9EDp0Fz32CJ9lZNF,80378710
Jul,J'oublie tout,Dans ma paranoïa,Liga One Industry,73,spotify:track:0SKNkEMV313mE6oYsgVCgm,135582295
Jul,"Un jour, je l'aurai",Inarrêtable,D'Or et de Platine,71,spotify:track:6uqUEyqPScFznadOkI7Nvm,29795953
Angèle,Nightcall (ft. Phoenix & Kavinsky),Nightcall,Universal Music Division Virgin Music Distribution Deal,72,spotify:track:2KejCKgm7l3uefW9cFt8cH,43698058
Angèle,Balance ton quoi,Brol,Angèle VL Records,67,spotify:track:2jX5c5RFp0A9E1GDsvGxIa,196964630
Angèle,Tout oublier (ft. Roméo Elvis),Brol,Angèle VL Records,64,spotify:track:06O3hxudc6V0BOuoCFSy71,144783718
Angèle,Ta reine,Brol,Angèle VL Records,62,spotify:track:3iXhLi33EpUfcOwasC8un1,101602476
Angèle,Démons,Nonante-Cinq,Angèle VL Records,61,spotify:track:3gAEAmxdP1GIjgQ3Zud2mE,96096112
Josman,J'aime Bien!,J.O.$,Choke Industry,67,spotify:track:4eWcCSJEe0d1gCEdKqyiHS,125966182
Josman,Intro,M.A.N (Black Roses & Lost Feelings),SIDELINE,67,spotify:track:6qvyN6NTUpdfOJRYjtSSd7,105134301
Josman,XS,J.O.$,Choke Industry,66,spotify:track:3Bc8gFjMtqUhuF5ZQ8GiQl,86099384
Josman,Ailleurs,J.000.$,SIDELINE,64,spotify:track:7ujxY1bqVRvMe1sR5iFmxt,46051270
